ori,agency_type_name,EDITED,agency_name [EDIT THIS COLUMN],pub_agency_name,icpsr_name
NJ003PT00,Other,,Special Part Time Burlington County,Special Part Time Burlington County,Spt Burlington Co
NJ003SP00,State Police,,State Police: Burlington County,State Police: Burlington County,Sp: Burlington County
NJ0040000,County,,Camden County Sheriff's Department,Camden,Camden County Sheriff's Office
NJ0040100,City,,Audubon Police Department,Audubon,Audubon Borough Police
NJ0040200,City,,Audubon Park Police Department,Audubon Park,Audubon Park PD Audubon
NJ0040300,City,,Barrington Police Department,Barrington,Barrington Police
NJ0040400,City,,Bellmawr Police Department,Bellmawr,Bellmawr Police
NJ0040500,City,,Berlin Police Department,Berlin,Berlin Borough Police
NJ0040600,City,,Berlin Township Police Department,Berlin Township,Berlin Township Police
NJ0040700,City,,Brooklawn Police Department,Brooklawn,Brooklawn Borough Police
NJ004073A,Other,,Camden County Prosecutor's Office,Camden County Prosecutor's Office,
NJ0040800,County,,Camden County Police Department,Camden County Police Department,Camden Police
NJ0040900,City,,Chesilhurst Police Department,Chesilhurst,Chesilhurst Borough Police
NJ0041000,City,,Clementon Police Department,Clementon,Clementon Police
NJ0041100,City,,Collingswood Police Department,Collingswood,Collingswood Police
NJ0041200,City,,Cherry Hill Township Police Department,Cherry Hill Township,Cherry Hill Police
NJ0041300,City,,Gibbsboro Police Department,Gibbsboro,Gibbsboro Borough Police
NJ0041400,City,,Gloucester City Police Department,Gloucester City,Gloucester City Police
NJ0041500,City,,Gloucester Township Police Department,Gloucester Township,Gloucester Township Police
NJ0041600,City,,Haddon Township Police Department,Haddon Township,Haddon Township Police
NJ0041700,City,,Haddonfield Police Department,Haddonfield,Haddonfield Police
NJ0041800,City,,Haddon Heights Police Department,Haddon Heights,Haddon Heights Police
NJ0041900,City,,Hi-Nella Police Department,Hi-Nella,Hi-Nella Borough Police
NJ0042000,City,,Laurel Springs Police Department,Laurel Springs,Laurel Springs Police
NJ0042100,City,,Lawnside Police Department,Lawnside,Lawnside Police
NJ0042200,City,,Lindenwold Police Department,Lindenwold,Lindenwold Police
NJ0042300,City,,Magnolia Police Department,Magnolia,Magnolia Police
NJ0042400,City,,Merchantville Police Department,Merchantville,Merchantville Borough Police
NJ0042500,City,,Mount Ephraim Police Department,Mount Ephraim,Mount Ephraim Police
NJ0042600,City,,Oaklyn Police Department,Oaklyn,Oaklyn Police
NJ0042700,City,,Pennsauken Township Police Department,Pennsauken Township,Pennsauken Police
NJ0042800,City,,Pine Hill Police Department,Pine Hill,Pine Hill Borough Police
NJ0042900,City,,Pine Valley Police Department,Pine Valley,Pine Valley Police
NJ0043000,City,,Runnemede Police Department,Runnemede,Runnemede Police
NJ0043100,City,,Somerdale Police Department,Somerdale,Somerdale Borough Police
NJ0043200,City,,Stratford Police Department,Stratford,Stratford Borough Police
NJ0043300,City,,Tavistock Police Department,Tavistock,Tavistock PD Haddonfield
NJ0043400,City,,Voorhees Township Police Department,Voorhees Township,Voorhees Township Police
NJ0043500,City,,Waterford Township Police Department,Waterford Township,Waterford Township Police
NJ0043600,City,,Winslow Township Police Department,Winslow Township,Winslow Township Police
NJ0043700,City,,Woodlynne Police Department,Woodlynne,Woodlynne Police Department
NJ0043900,University or College,,Rutgers University: Camden,Rutgers University: Camden,Rutgers University Police - Camden
NJ004430X,University or College,,University of Medicine and Dentistry: Camden,University of Medicine and Dentistry: Camden,
NJ0048900,Other,,Prosecutor: Camden County,Prosecutor: Camden County,Camden County Prosecutor's Chief
NJ0049100,Other,,Park Police: Camden County,Park Police: Camden County,Camden County Park Police
NJ004PT00,Other,,Special Part Time Camden County,Special Part Time Camden County,Spt Camden Co
NJ004SP00,State Police,,State Police: Camden County,State Police: Camden County,Sp: Camden County
NJ0050000,County,,Cape May County Sheriff's Department,Cape May,Cape May County Sheriff's Office
NJ0050100,City,,Avalon Police Department,Avalon,Avalon Police Department
NJ0050200,City,,Cape May Police Department,Cape May,Cape May Police
NJ0050300,City,,Cape May Point Police Department,Cape May Point,Cape May Point PD
NJ0050500,City,,Lower Township Police Department,Lower Township,Lower Township Police
NJ0050600,City,,Middle Township Police Department,Middle Township,Middle Township Police
NJ0050700,City,,North Wildwood Police Department,North Wildwood,North Wildwood Police
NJ0050800,City,,Ocean City Police Department,Ocean City,Ocean City Police
NJ0050900,City,,Sea Isle City Police Department,Sea Isle City,Sea Isle Police
NJ0051000,City,,Stone Harbor Police Department,Stone Harbor,Stone Harbor Borough Police
NJ0051200,City,,West Cape May Police Department,West Cape May,West Cape May PD Cape May
NJ0051300,City,,West Wildwood Police Department,West Wildwood,West Wildwood Police
NJ0051400,City,,Wildwood Police Department,Wildwood,Wildwood Police
NJ0051500,City,,Wildwood Crest Police Department,Wildwood Crest,Wildwood Crest Police
NJ0051600,City,,Woodbine Police Department,Woodbine,Woodbine PD
NJ0058900,Other,,Prosecutor: Cape May County,Prosecutor: Cape May County,Cape May County Prosecutor's Office
NJ005PT00,Other,,Special Part Time Cape May County,Special Part Time Cape May County,Spt Cape May Co
NJ005SP00,State Police,,State Police: Cape May County,State Police: Cape May County,Sp: Cape May County
NJ0060000,County,,Cumberland County Sheriff's Department,Cumberland,Cumberland County Sheriff's Office
NJ0060100,City,,Bridgeton Police Department,Bridgeton,Bridgeton Police
NJ0060300,City,,Deerfield Township Police Department,Deerfield Township,Deerfield Twp PD Rosenhayn
NJ0060500,City,,Fairfield Township Police Department,Fairfield Township,Fairfield Twp PD Fairton
NJ0060600,Unknown,,Greenwich Township,Greenwich Township,Greenwich Twp PD Shiloh
NJ0060800,City,,Lawrence Township Police Department,Lawrence Township,Lawrence Twp PD Cedarville
NJ0061000,City,,Millville Police Department,Millville,Millville Police
NJ0061300,City,,Upper Deerfield Township Police Department,Upper Deerfield Township,Upper Deerfield Twp PD Seabrook
NJ0061400,City,,Vineland Police Department,Vineland,Vineland Police
NJ0068900,Other,,Prosecutor: Cumberland County,Prosecutor: Cumberland County,Cumberland County Prosecutor's Chief
